step,fitness
0,0.003948966035317619
1,0.005427061336120633
2,0.0071347167831343535
3,0.008063134388105473
4,0.010109007617395988
5,0.01120133058249259
6,0.013580594665310782
7,0.014833868164590572
8,0.017541833404857436
9,0.020426601734750856
10,0.021985300167572438
11,0.02515687214920781
12,0.02859326456437891
13,0.03223634040430524
14,0.03608356167212367
15,0.04013234258398296
16,0.04438004817529678
17,0.04882399287518798
18,0.05346143905030447
19,0.058289595519668724
20,0.06599917355642568
21,0.07130250015252827
22,0.07678693720588196
23,0.08550287708633855
24,0.09143980345680092
25,0.10085408497559245
26,0.10722689818091509
27,0.11731797880215392
28,0.12781391915873944
29,0.13870763381823614
30,0.1499918908250648
31,0.16165930849696594
32,0.17370235237017695
33,0.2448112275591147
34,0.7095782128909911
35,0.9327971128934465
36,0.8209145665507911
37,1.1442608704830488
38,0.942128122505679
39,0.7662302605140032
40,1.332450515201199
41,2.6645385017882335
42,2.073291397452911
43,1.8674705077961344
44,1.7471251777888923
45,1.6553336664538003
46,1.5890472411295644
47,1.5243518674253378
48,1.4715380806840037
49,1.4094591689168101
50,1.3681793554856643
51,1.3175796493898029
52,1.2676727109736605
53,1.2272086724112488
54,1.1783239187640782
55,0.9906908651528117
56,1.063816377298861
57,1.1389769681496085
58,1.226823014989492
59,1.3061692829284464
60,1.7083301951514747
61,2.302877421358144
62,2.830727401637819
63,3.2504744660376756
64,3.1316620411768095
65,3.118829677042768
66,3.244217109211177
67,3.1978787236942177
68,3.187044498953661
69,3.123856056252044
70,3.078657542718865
71,3.18944658621145
72,3.161076117224014
73,3.0130478602239212
74,3.1565842724116138
75,3.1456301678116683
76,3.0662540891200445
77,3.1066057061143657
78,3.0448240801845676
79,3.118856650031679
80,3.040190672667148
81,2.9296891444083304
82,2.919269304931384
83,2.637299076897431
84,2.9970925440438414
85,2.953365789431309
86,2.702266329669758
87,2.9483890399749075
88,2.937674035507167
89,2.846330428592742
90,2.9000875810498297
91,2.668767763610822
92,2.6282314728729372
93,2.868120656020942
94,2.8893472224855716
95,2.815222273135454
96,2.8203973518543455
97,2.7165360401310057
98,2.752551873300206
99,2.819808986362027
100,2.670584905188303
101,2.7519978084354357
102,2.787663972958807
103,2.7615642392579827
104,2.599996308593897
105,2.6947093783489793
106,2.5946383766076977
107,2.628941595369561
108,2.6038441284669327
109,2.549640893207826
110,2.598032812098165
111,2.4719302287391605
112,2.5920299129588167
113,2.509356560898967
114,2.5858344416690313
115,2.5754146021920827
116,2.637653910410447
117,2.5978720324429565
118,2.5013969360450483
119,2.562324414335379
120,2.5517870035520427
121,2.5554862573169776
122,2.5448898135354825
123,2.5626488791362663
124,2.523696925972493
125,2.527140122379472
126,2.5164844807031757
127,2.464181439348918
128,2.4537028966670973
129,2.4983588523298237
130,2.4876438478620835
131,2.435875484935343
132,2.4389253757205345
133,2.469140468408316
134,2.4583659362524886
135,2.4475914040966615
136,2.3831884310186595
137,2.399272422263921
138,2.428648767114677
139,2.41781454237412
140,2.4069803176335633
141,2.3829442111616994
142,2.372169679005872
143,2.361395146850045
144,2.3767021972450744
145,2.3658081150231447
146,2.3549140328012146
147,2.344019950579285
148,2.3203065197091064
149,2.3222317861354247
150,2.3113377039134964
151,2.3131182182158163
152,2.302164113615871
153,2.2912100090159253
154,2.28025590441598
155,2.2693017998160347
156,2.2583476952160892
157,3.109717591642137
158,4.119270735955738
159,4.254270660032289
160,4.3133363643042415
161,4.296797037923634
162,4.349073774486272
163,3.586641431759727
164,3.5174704602163924
165,4.214913229422265
166,2.125290474379082
167,2.1261383061406893
168,2.11524422391876
169,2.0927878001574096
170,2.070482778642711
171,2.094036126216907
172,2.083082021616962
173,2.072127917017016
174,3.13870900652657
175,4.088583887497732
176,3.4217988687826852
177,4.138590878931127
178,2.017357394017288
179,1.9735119892402704
180,2.903961462020541
181,1.8569465073848916
182,2.0715412999952783
183,1.1689049336463346
184,1.1812929204010725
185,1.202797077977158
186,1.2150005647518058
187,1.2363862860624784
188,1.2483758881290299
189,1.3532425691138212
190,1.644595100497786
191,1.3023926876826037
192,1.323347066976327
193,1.3442039455828396
