step,fitness
0,0.003948966035317619
1,0.005427109912416204
2,0.00713397666781822
3,0.008062006292738826
4,0.010105508218109809
5,0.012373210916951465
6,0.014862460111859502
7,0.01616602276009177
8,0.018979304040504807
9,0.022008390136262428
10,0.0252510958352835
11,0.028705214442543345
12,0.03236851731405401
13,0.03623875339342594
14,0.040313648751584906
15,0.04459090613029045
16,0.04906820449016633
17,0.053743198564030016
18,0.05861351841638377
19,0.0636767690100216
20,0.068930529780779
21,0.07437235422156324
22,0.079999769476895
23,0.08581027594930375
24,0.09502220324949459
25,0.10129122512272325
26,0.11081355596417644
27,0.11792377106555792
28,0.12798998483726085
29,0.13891547596914133
30,0.1502358439126077
31,0.16194413236510322
32,0.17403326039143616
33,0.2397812236688936
34,0.7512339027804746
35,0.21251296640108083
36,0.24864382181764527
37,0.299540392833043
38,0.37227591537325394
39,0.49380488570066516
40,0.6958715082868602
41,1.0583278695666638
42,1.652172954693815
43,2.323703561850868
44,3.0237150433217614
45,2.461919179327554
46,2.0719315295030656
47,1.769605994223339
48,2.0022717042813807
49,2.2967008136581315
50,2.5490005031245024
51,2.22326310260934
52,1.9491031406391164
53,1.719920758963155
54,1.5299797208647201
55,1.3743349101695854
56,1.2487722887680681
57,1.1497591219458678
58,1.0557579199688014
59,1.0951794712025837
60,1.1607623861329028
61,1.5289688019688197
62,2.106472363202769
63,3.2551349147187585
64,3.2359550288478918
65,3.2373346927775217
66,3.191034122848726
67,2.8931261390624265
68,3.04792716438245
69,2.9020153302840783
70,3.1132004145757475
71,2.9828987404279053
72,2.4268615251194747
73,3.0983991025232647
74,3.156584272411614
75,2.992208181270024
76,3.1174997883362954
77,2.904878444537716
78,2.9943582564521725
79,2.868115892967896
80,3.0739234594485763
81,3.079905540211996
82,3.018641608355494
83,3.0078670761996684
84,2.643401348688356
85,2.8880097865005387
86,2.9591040444426473
87,2.5688833691201607
88,2.776956720847829
89,2.7826383370510652
90,2.7566991270433703
91,2.8894319393735333
92,2.9108962867972252
93,2.900121754641398
94,2.873384008700727
95,2.7838113917310516
96,2.757810731658319
97,2.8412389952975063
98,2.7525518733002063
99,2.819808986362027
100,2.670584905188302
101,2.7519978084354357
102,2.680456234155222
103,2.685281623477287
104,2.6598503786409577
105,2.5899252255166836
106,2.639244523126694
107,2.569783059362255
108,2.6334751176336924
109,2.4916139822263266
110,2.6275137995768256
111,2.543994392096549
112,2.4195170215466684
113,2.6108810368944124
114,2.4992854778217524
115,2.5321310937716133
116,2.5939366466853886
117,2.583399235902052
118,2.4872247439583264
119,2.5195008047777843
120,2.566082701098473
121,2.5554862573169776
122,2.4743976790125783
123,2.506095610076202
124,2.537795764055768
125,2.5271401223794725
126,2.5164844807031765
127,2.4641814393489185
128,2.4537028966670973
129,2.4983588523298232
130,2.4876438478620835
131,2.435875484935343
132,2.4525506306454004
133,2.4691404684083156
134,2.4583659362524886
135,2.447591404096661
136,2.423353821055643
137,2.39927242226392
138,2.428648767114676
139,2.417814542374119
140,2.4069803176335616
141,2.3697787987169425
142,2.3721696790058737
143,2.3875962794670027
144,2.376702197245073
145,2.365808115023144
146,2.3419749691902223
147,2.344019950579285
148,2.3331258683573552
149,2.322231786135426
150,2.324072322815761
151,2.3131182182158154
152,2.30216411361587
153,2.291210009015926
154,2.2802559044159807
