step,fitness
0,0.5859996624452932
1,0.59462558594725
2,0.5977612781909275
3,0.606245927818309
4,0.6146491224158709
5,0.6229708246339083
6,0.6258843192517046
7,0.6340636143310765
8,0.6421612700151202
9,0.6501772287041409
10,0.6581114257522864
11,0.660740543921196
12,0.6685316593241948
13,0.6762407707293565
14,0.6838677853000783
15,0.6914126028343641
16,0.6988751157550498
17,0.7062552091054649
18,0.7084740932141571
19,0.7157096218428542
20,0.7228623432417036
21,0.7299321138840997
22,0.7369187828858819
23,0.7438221920151904
24,0.750642175703645
25,0.7573785610587764
26,0.7640311678776469
27,0.7657071114637937
28,0.7722122868228295
29,0.7786331091190477
30,0.7849942737787708
31,0.798289894961077
32,0.8112343412563624
33,0.8238175865806631
34,0.840585193202937
35,0.8523801313765361
36,0.8682677459218877
37,0.8881301017112899
38,0.9074291069881646
39,0.930527004659
40,0.9529527145844491
41,0.978989742340501
42,1.0085011134974502
43,1.0954613473361023
44,1.2201987711972972
45,1.113906162141085
46,1.1542875995914503
47,1.2030581352073366
48,1.2502913281330927
49,1.4229731458917712
50,1.3400318775587732
51,1.2584019392341075
52,1.1781377757098368
53,1.0992945031165846
54,1.0293994754429803
55,0.9884533568278676
56,0.994823133312481
57,1.0028101530105862
58,1.0106664927701945
59,1.014200572415045
60,1.021841839051092
61,1.0251992244238661
62,1.0326256566435223
63,1.035786128777673
64,1.0429925578233274
65,1.045982538365079
66,1.0529438502661133
67,1.0557589145627484
68,1.0584645681360725
69,1.0645483917035328
70,1.0670955046993964
71,1.0695605402378192
72,1.0719157549446767
73,1.0741931234823137
74,1.0764165207138199
75,1.0785281394899706
76,1.0805868049092044
77,1.0825321143660656
78,1.0844227369171828
79,1.0824192990237436
80,1.0841647298611066
81,1.085801325867405
82,1.0836337146825423
83,1.0814241827814646
84,1.0828795252601175
85,1.0805431615050338
86,1.081843755154253
87,1.0794062294526168
88,1.0769474598697735
89,1.0744435572523403
90,1.0718779956843125
91,1.072742264432653
92,1.0726712508613616
93,1.0759541745859695
94,1.0790788872504193
95,1.082044671117369
96,1.23425123252524
97,1.0841244984802574
98,1.086632635433089
99,1.0889790397058905
100,1.1770033547864514
101,1.1587420478659933
102,1.1405996363388935
103,1.1225765911974088
104,1.0950535984381702
105,1.0964386325085465
106,1.0976570773922587
107,1.0987082492464362
108,1.0995914709848842
109,1.100306072982984
110,1.1008513938011308
111,0.9962573377804955
112,0.9924553733656465
113,0.9863053468258057
114,1.1181673796266045
115,1.1111390229864904
116,1.1062603536845996
117,1.0991945601306494
118,1.094250130436998
119,1.0871785609163231
120,1.082158476008613
121,1.0720342946827557
122,1.067664379209122
123,1.0601208553791064
124,1.0523278726762826
125,1.044949990818568
126,1.9016245492348927
127,2.021857478284372
128,2.0114580598499456
129,2.014838637245664
130,2.0114580598499456
131,2.0114580598499456
132,2.0114580598499456
133,2.0114580598499456
134,2.0114580598499456
135,2.0114580598499456
136,2.0114580598499456
137,2.0114580598499456
138,2.0114580598499456
139,2.0114580598499456
140,2.0114580598499456
141,2.0114580598499456
142,2.0114580598499456
143,2.0114580598499456
144,2.0114580598499456
145,2.0114580598499456
146,2.0114580598499456
147,2.0114580598499456
148,2.0114580598499456
149,2.0114580598499456
150,2.0114580598499456
151,2.0114580598499456
152,2.0114580598499456
153,2.0114580598499456
154,2.0114580598499456
155,2.0114580598499456
156,2.0114580598499456
157,2.0114580598499456
158,2.0114580598499456
159,2.0114580598499456
160,2.0114580598499456
161,2.0114580598499456
162,2.0114580598499456
163,2.0114580598499456
164,2.0114580598499456
165,2.0114580598499456
166,2.0114580598499456
167,2.0114580598499456
168,2.0114580598499456
169,2.0114580598499456
170,2.0114580598499456
171,2.0114580598499456
172,2.0114580598499456
173,2.0114580598499456
174,2.0114580598499456
175,2.0114580598499456
176,2.0114580598499456
177,2.0114580598499456
178,2.0114580598499456
179,2.0114580598499456
180,2.0114580598499456
181,2.0114580598499456
182,2.0114580598499456
183,2.0114580598499456
184,2.0114580598499456
185,2.0114580598499456
186,2.0114580598499456
187,2.0114580598499456
188,2.0114580598499456
189,2.0114580598499456
190,2.0114580598499456
191,2.0114580598499456
192,2.0114580598499456
193,2.0114580598499456
194,2.0114580598499456
195,2.0114580598499456
196,2.0114580598499456
197,2.0114580598499456
198,2.0114580598499456
199,2.0114580598499456
200,2.0114580598499456
201,2.0114580598499456
202,2.0114580598499456
203,2.0114580598499456
204,2.0114580598499456
205,2.0114580598499456
206,2.0114580598499456
207,2.0114580598499456
208,2.0114580598499456
209,2.0114580598499456
210,2.0114580598499456
211,2.0114580598499456
212,2.0114580598499456
213,2.0114580598499456
214,2.0114580598499456
215,2.0114580598499456
216,2.0114580598499456
217,2.0114580598499456
218,2.0114580598499456
219,2.0114580598499456
220,2.0114580598499456
221,2.0114580598499456
222,2.0114580598499456
223,2.0114580598499456
224,2.0114580598499456
225,2.0114580598499456
226,2.0114580598499456
227,2.0114580598499456
228,2.0114580598499456
229,2.0114580598499456
230,2.0114580598499456
231,2.0114580598499456
232,2.0114580598499456
233,2.0114580598499456
234,2.0114580598499456
235,2.0114580598499456
236,2.0114580598499456
237,2.0114580598499456
238,2.0114580598499456
239,2.0114580598499456
240,2.0114580598499456
241,2.0114580598499456
242,2.0114580598499456
243,2.0114580598499456
244,2.0114580598499456
245,2.0114580598499456
246,2.0114580598499456
247,2.0114580598499456
248,2.0114580598499456
249,2.0114580598499456
250,2.0114580598499456
251,2.0114580598499456
252,2.0114580598499456
253,2.0114580598499456
254,2.0114580598499456
255,2.0114580598499456
